date,PM2.5,PM10,SO2,NO2,CO,O3,AQI
2013-03-01 00:00:00,4.0,4.0,3.0,2.0,0.2,82.0,82.0
2013-03-01 01:00:00,7.0,7.0,3.0,2.0,0.2,80.0,80.0
2013-03-01 02:00:00,5.0,5.0,3.0,2.0,0.2,79.0,79.0
2013-03-01 03:00:00,6.0,6.0,3.0,4.0,0.2,79.0,79.0
2013-03-01 04:00:00,5.0,5.0,3.0,4.0,0.2,81.0,81.0
2013-03-01 05:00:00,6.0,6.0,3.0,4.0,0.2,79.0,79.0
2013-03-01 06:00:00,5.0,10.0,3.0,4.0,0.2,77.0,77.0
2013-03-01 07:00:00,5.0,6.0,3.0,2.0,0.2,80.0,80.0
2013-03-01 08:00:00,8.0,7.0,3.0,3.0,0.2,79.0,79.0
2013-03-01 09:00:00,8.0,8.0,3.0,2.0,0.2,81.0,81.0
2013-03-01 10:00:00,8.0,2.0,3.0,2.0,0.2,83.0,83.0
2013-03-01 11:00:00,3.0,2.0,3.0,2.0,0.2,83.0,83.0
2013-03-01 12:00:00,6.0,7.0,3.0,2.0,0.2,85.0,85.0
2013-03-01 13:00:00,7.0,7.0,3.0,2.0,0.2,84.0,84.0
2013-03-01 14:00:00,6.0,7.0,3.0,2.0,0.2,89.0,89.0
2013-03-01 15:00:00,10.0,10.0,3.0,2.0,0.2,88.0,88.0
2013-03-01 16:00:00,3.0,6.0,3.0,2.0,0.2,87.0,87.0
2013-03-01 17:00:00,5.0,5.0,3.0,2.0,0.2,87.0,87.0
2013-03-01 18:00:00,5.0,6.0,3.0,2.0,0.2,85.0,85.0
2013-03-01 19:00:00,14.0,6.0,3.0,2.0,0.2,83.0,83.0
2013-03-01 20:00:00,6.0,7.0,3.0,2.0,0.2,83.0,83.0
2013-03-01 21:00:00,9.0,7.0,3.0,2.0,0.2,82.0,82.0
2013-03-01 22:00:00,6.0,5.0,3.0,2.0,0.2,79.0,79.0
2013-03-01 23:00:00,6.0,9.0,3.0,2.0,0.3,72.0,72.0
2013-03-02 00:00:00,4.0,7.0,3.0,2.0,0.2,74.0,74.0
2013-03-02 01:00:00,6.0,6.0,3.0,2.0,0.2,75.0,75.0
2013-03-02 02:00:00,7.0,2.0,13.0,39.0,0.8,36.0,40.0
2013-03-02 03:00:00,28.0,47.0,21.0,71.0,1.2,6.0,60.0
2013-03-02 04:00:00,31.0,65.0,25.0,71.0,1.2,5.0,65.0
2013-03-02 05:00:00,39.0,55.0,22.0,70.0,1.2,2.0,65.0
2013-03-02 06:00:00,41.0,45.0,16.0,65.0,1.0,4.0,68.0
2013-03-02 07:00:00,52.0,32.0,13.0,56.0,0.8,8.0,87.0
2013-03-02 08:00:00,36.0,18.0,16.0,52.0,0.9,12.0,60.0
2013-03-02 09:00:00,27.0,41.0,18.0,43.0,0.9,20.0,45.0
2013-03-02 10:00:00,29.0,38.0,20.0,35.0,0.6,42.0,48.0
2013-03-02 11:00:00,19.0,12.0,22.0,38.0,0.6,43.0,43.0
2013-03-02 12:00:00,28.0,32.0,32.0,56.0,0.7,32.0,47.0
2013-03-02 13:00:00,30.0,41.0,27.0,42.0,0.6,45.0,50.0
2013-03-02 14:00:00,26.0,29.0,30.0,48.0,0.7,43.0,43.0
2013-03-02 15:00:00,32.0,36.0,37.0,56.0,0.8,39.0,53.0
2013-03-02 16:00:00,39.0,44.0,42.0,64.0,0.9,33.0,65.0
2013-03-02 17:00:00,43.0,54.0,44.0,70.0,0.9,27.0,72.0
2013-03-02 18:00:00,48.0,60.0,45.0,80.0,1.0,19.0,80.0
2013-03-02 19:00:00,46.0,64.0,36.0,80.0,1.0,11.0,77.0
2013-03-02 20:00:00,45.0,66.0,30.0,79.0,1.2,6.0,75.0
2013-03-02 21:00:00,50.0,68.0,36.0,82.0,1.2,4.0,83.0
2013-03-02 22:00:00,56.0,73.0,26.0,76.0,1.2,4.0,93.0
2013-03-02 23:00:00,55.0,66.0,25.0,76.0,1.2,3.0,92.0
2013-03-03 00:00:00,60.0,60.0,26.0,77.0,1.2,2.0,100.0
2013-03-03 01:00:00,59.0,63.0,21.0,72.0,1.1,2.0,98.0
2013-03-03 02:00:00,52.0,53.0,20.0,69.0,1.3,3.0,87.0
2013-03-03 03:00:00,57.0,57.0,20.0,67.0,1.0,45.0,95.0
2013-03-03 04:00:00,53.0,48.0,19.0,66.0,1.0,2.0,88.0
2013-03-03 05:00:00,48.0,55.0,19.0,66.0,1.1,3.0,80.0
2013-03-03 06:00:00,53.0,55.0,19.0,69.0,1.3,2.0,88.0
2013-03-03 07:00:00,53.0,59.0,15.0,67.0,1.0,2.0,88.0
2013-03-03 08:00:00,50.0,56.0,22.0,62.0,1.2,8.0,83.0
2013-03-03 09:00:00,60.0,78.0,33.0,60.0,1.5,16.0,100.0
2013-03-03 10:00:00,73.0,87.0,41.0,61.0,1.2,24.0,143.0
2013-03-03 11:00:00,76.0,101.0,49.0,64.0,1.2,27.0,153.0
2013-03-03 12:00:00,75.0,102.0,64.0,75.0,1.5,27.0,150.0
2013-03-03 13:00:00,92.0,147.0,51.0,58.0,1.1,38.0,207.0
2013-03-03 14:00:00,79.0,147.0,23.0,27.0,0.6,65.0,163.0
2013-03-03 15:00:00,44.0,105.0,4.0,3.0,0.2,86.0,103.0
2013-03-03 16:00:00,14.0,43.0,3.0,2.0,0.2,88.0,88.0
2013-03-03 17:00:00,5.0,29.0,3.0,2.0,0.2,87.0,87.0
2013-03-03 18:00:00,3.0,32.0,3.0,2.0,0.2,84.0,84.0
2013-03-03 19:00:00,11.0,46.0,3.0,2.0,0.2,83.0,83.0
2013-03-03 20:00:00,5.0,42.0,3.0,2.0,0.2,82.0,82.0
2013-03-03 21:00:00,12.0,34.0,3.0,2.0,0.2,79.0,79.0
2013-03-03 22:00:00,4.0,31.0,7.0,8.0,0.5,61.0,61.0
2013-03-03 23:00:00,14.0,38.0,4.0,4.0,0.3,68.0,68.0
2013-03-04 00:00:00,13.0,34.0,3.0,4.0,0.2,76.0,76.0
2013-03-04 01:00:00,10.0,36.0,3.0,4.0,0.2,80.0,80.0
2013-03-04 02:00:00,8.0,28.0,3.0,4.0,0.2,81.0,81.0
2013-03-04 03:00:00,5.0,19.0,3.0,4.0,0.2,84.0,84.0
