date,PM2.5,PM10,SO2,NO2,CO,O3,AQI
2013-03-01 00:00:00,6.0,18.0,5.0,5.0,0.8,88.0,88.0
2013-03-01 01:00:00,6.0,15.0,5.0,5.0,0.8,88.0,88.0
2013-03-01 02:00:00,5.0,18.0,6.0,5.0,0.7,52.0,52.0
2013-03-01 03:00:00,6.0,20.0,6.0,5.0,0.6,73.0,73.0
2013-03-01 04:00:00,5.0,17.0,5.0,5.0,0.6,73.0,73.0
2013-03-01 05:00:00,4.0,11.0,3.0,5.0,0.7,87.0,87.0
2013-03-01 06:00:00,3.0,6.0,3.0,5.0,0.7,92.0,92.0
2013-03-01 07:00:00,5.0,5.0,3.0,5.0,0.8,86.0,86.0
2013-03-01 08:00:00,5.0,9.0,5.0,5.0,0.9,81.0,81.0
2013-03-01 09:00:00,4.0,10.0,6.0,5.0,0.9,82.0,82.0
2013-03-01 10:00:00,7.0,8.0,8.0,5.0,0.9,82.0,82.0
2013-03-01 11:00:00,3.0,6.0,8.0,5.0,0.8,85.0,85.0
2013-03-01 12:00:00,9.0,10.0,8.0,5.0,0.8,86.0,86.0
2013-03-01 13:00:00,10.0,19.0,9.0,5.0,0.9,86.0,86.0
2013-03-01 14:00:00,13.0,20.0,8.0,5.0,0.8,88.0,88.0
2013-03-01 15:00:00,13.0,16.0,8.0,5.0,0.8,90.0,90.0
2013-03-01 16:00:00,11.0,22.0,6.0,5.0,0.8,90.0,90.0
2013-03-01 17:00:00,10.0,20.0,4.0,5.0,0.8,87.0,87.0
2013-03-01 18:00:00,11.0,20.0,6.0,5.0,0.9,80.0,80.0
2013-03-01 19:00:00,11.0,31.0,8.0,5.0,1.0,69.0,69.0
2013-03-01 20:00:00,13.0,25.0,12.0,5.0,1.1,61.0,61.0
2013-03-01 21:00:00,15.0,23.0,14.0,13.0,1.2,52.0,60.0
2013-03-01 22:00:00,16.0,28.0,16.0,19.0,1.2,45.0,60.0
2013-03-01 23:00:00,16.0,28.0,14.0,20.0,1.1,44.0,55.0
2013-03-02 00:00:00,14.0,18.0,24.0,43.0,1.399,25.0,70.0
2013-03-02 01:00:00,18.0,39.0,25.0,28.0,1.3,37.0,65.0
2013-03-02 02:00:00,19.0,29.0,30.0,13.0,1.1,47.0,55.0
2013-03-02 03:00:00,15.0,24.0,20.0,12.0,1.0,46.0,50.0
2013-03-02 04:00:00,13.0,16.0,21.0,24.0,1.2,37.0,60.0
2013-03-02 05:00:00,12.0,23.0,26.0,11.0,1.2,50.0,60.0
2013-03-02 06:00:00,12.0,12.0,18.0,11.0,1.0,62.0,62.0
2013-03-02 07:00:00,3.0,6.0,19.0,11.0,1.1,52.0,55.0
2013-03-02 08:00:00,3.0,9.0,22.0,15.0,1.2,51.0,60.0
2013-03-02 09:00:00,10.0,15.0,30.0,27.0,1.2,42.0,60.0
2013-03-02 10:00:00,15.0,17.0,34.0,45.0,1.3,30.0,65.0
2013-03-02 11:00:00,20.0,31.0,27.0,45.0,1.399,31.0,70.0
2013-03-02 12:00:00,26.0,36.0,26.0,23.0,1.2,49.0,60.0
2013-03-02 13:00:00,31.0,43.0,23.0,6.0,1.1,65.0,65.0
2013-03-02 14:00:00,32.0,36.0,26.0,12.0,1.2,62.0,62.0
2013-03-02 15:00:00,36.0,37.0,40.0,22.0,1.6,59.0,80.0
2013-03-02 16:00:00,47.0,66.0,47.0,30.0,1.6,55.0,80.0
2013-03-02 17:00:00,59.0,80.0,50.0,32.0,1.5,51.0,98.0
2013-03-02 18:00:00,63.0,88.0,50.0,36.0,1.6,50.0,110.0
2013-03-02 19:00:00,70.0,102.0,62.0,62.0,1.899,26.0,133.0
2013-03-02 20:00:00,86.0,125.0,66.0,89.0,2.1,6.0,187.0
2013-03-02 21:00:00,98.0,147.0,67.0,84.0,2.2,7.0,227.0
2013-03-02 22:00:00,98.0,126.0,71.0,97.0,2.5,5.0,227.0
2013-03-02 23:00:00,86.0,108.0,71.0,97.0,2.6,5.0,187.0
2013-03-03 00:00:00,81.0,108.0,64.0,91.0,2.5,4.0,170.0
2013-03-03 01:00:00,80.0,99.0,66.0,85.0,3.0,5.0,167.0
2013-03-03 02:00:00,84.0,106.0,66.0,74.0,3.799,5.0,180.0
2013-03-03 03:00:00,87.0,137.0,50.0,61.0,2.6,5.0,190.0
2013-03-03 04:00:00,79.0,92.0,42.0,39.0,2.1,10.0,163.0
2013-03-03 05:00:00,54.0,71.0,56.0,78.0,3.799,5.0,122.0
2013-03-03 06:00:00,76.0,94.0,47.0,65.0,3.7,4.0,153.0
2013-03-03 07:00:00,82.0,110.0,46.0,53.0,2.899,4.0,173.0
2013-03-03 08:00:00,78.0,88.0,52.0,52.0,2.899,6.0,160.0
2013-03-03 09:00:00,77.0,99.0,60.0,66.0,3.399,9.0,157.0
2013-03-03 10:00:00,87.0,113.0,80.0,86.0,3.0,14.0,190.0
2013-03-03 11:00:00,97.0,115.0,74.0,94.0,3.0,16.0,223.0
2013-03-03 12:00:00,102.0,138.0,68.0,109.0,3.1,18.0,240.0
2013-03-03 13:00:00,113.0,184.0,66.0,81.0,2.399,51.0,277.0
2013-03-03 14:00:00,127.0,194.0,53.0,51.0,1.8,71.0,305.0
2013-03-03 15:00:00,97.0,149.0,19.0,6.0,1.0,85.0,223.0
2013-03-03 16:00:00,61.0,112.0,20.0,6.0,1.1,79.0,108.0
2013-03-03 17:00:00,44.0,119.0,25.0,13.0,1.3,80.0,113.0
2013-03-03 18:00:00,78.0,178.0,81.0,90.0,2.299,51.0,160.0
2013-03-03 19:00:00,150.0,268.0,60.0,81.0,2.1,40.0,323.0
2013-03-03 20:00:00,126.0,193.0,7.0,3.0,0.9,79.0,305.0
2013-03-03 21:00:00,34.0,39.0,3.0,3.0,0.8,88.0,88.0
2013-03-03 22:00:00,14.0,32.0,12.0,3.0,1.1,63.0,63.0
2013-03-03 23:00:00,20.0,43.0,24.0,52.0,1.8,17.0,90.0
2013-03-04 00:00:00,28.0,59.0,23.0,18.0,1.6,47.0,80.0
2013-03-04 01:00:00,23.0,53.0,15.0,2.0,0.9,70.0,70.0
2013-03-04 02:00:00,16.0,38.0,9.0,2.0,0.8,70.0,70.0
2013-03-04 03:00:00,13.0,40.0,10.0,2.0,0.9,62.0,62.0
2013-03-04 04:00:00,13.0,40.0,10.0,2.0,1.0,52.0,52.0
2013-03-04 05:00:00,12.0,31.0,8.0,46.0,0.9,64.0,64.0
2013-03-04 06:00:00,8.0,20.0,5.0,46.0,0.9,78.0,78.0
2013-03-04 07:00:00,5.0,10.0,4.0,46.0,1.0,62.0,62.0
2013-03-04 08:00:00,7.0,21.0,17.0,46.0,1.5,24.0,75.0
2013-03-04 09:00:00,15.0,49.0,24.0,39.0,1.6,31.0,80.0
2013-03-04 10:00:00,19.0,50.0,21.0,32.0,1.399,47.0,70.0
2013-03-04 11:00:00,19.0,35.0,15.0,2.0,1.1,67.0,67.0
2013-03-04 12:00:00,18.0,31.0,12.0,3.0,1.0,72.0,72.0
2013-03-04 13:00:00,18.0,32.0,9.0,3.0,0.9,84.0,84.0
2013-03-04 14:00:00,19.0,22.0,11.0,3.0,0.9,81.0,81.0
2013-03-04 15:00:00,22.0,27.0,12.0,3.0,1.0,103.0,104.0
2013-03-04 16:00:00,26.0,36.0,10.0,3.0,0.9,105.0,107.0
2013-03-04 17:00:00,28.0,34.0,10.0,3.0,1.0,107.0,110.0
2013-03-04 18:00:00,32.0,55.0,12.0,3.0,1.0,94.0,94.0
2013-03-04 19:00:00,38.0,82.0,17.0,16.0,1.1,76.0,82.0
2013-03-04 20:00:00,45.0,96.0,34.0,36.0,1.399,52.0,96.0
2013-03-04 21:00:00,57.0,108.0,39.0,42.0,1.399,44.0,105.0
2013-03-04 22:00:00,72.0,106.0,51.0,74.0,1.899,15.0,140.0
2013-03-04 23:00:00,83.0,156.0,70.0,82.0,2.0,107.0,177.0
2013-03-05 00:00:00,99.0,156.0,83.0,85.0,2.1,107.0,230.0
2013-03-05 01:00:00,111.0,159.0,63.0,62.0,2.1,107.0,270.0
2013-03-05 02:00:00,122.0,162.0,53.0,54.0,1.899,107.0,302.0
2013-03-05 03:00:00,122.0,157.0,53.0,70.0,2.0,107.0,302.0
2013-03-05 04:00:00,111.0,147.0,48.0,59.0,2.0,107.0,270.0
2013-03-05 05:00:00,95.0,158.0,50.0,59.0,3.299,107.0,217.0
2013-03-05 06:00:00,86.0,108.0,52.0,77.0,2.899,107.0,187.0
2013-03-05 07:00:00,88.0,124.0,63.0,80.0,3.299,107.0,193.0
2013-03-05 08:00:00,93.0,134.0,69.0,77.0,4.099,107.0,210.0
2013-03-05 09:00:00,98.0,137.0,78.0,87.0,3.2,107.0,227.0
2013-03-05 10:00:00,109.0,151.0,78.0,84.0,2.899,107.0,263.0
