date,PM2.5,PM10,SO2,NO2,CO,O3,AQI
2013-03-01 00:00:00,7.0,7.0,3.0,2.0,0.1,91.0,91.0
2013-03-01 01:00:00,4.0,4.0,3.0,2.0,0.1,92.0,92.0
2013-03-01 02:00:00,4.0,4.0,3.0,2.0,0.1,91.0,91.0
2013-03-01 03:00:00,3.0,3.0,3.0,2.0,0.3,86.0,86.0
2013-03-01 04:00:00,3.0,3.0,7.0,3.0,0.3,86.0,86.0
2013-03-01 05:00:00,4.0,4.0,3.0,3.0,0.2,85.0,85.0
2013-03-01 06:00:00,3.0,6.0,33.0,7.0,0.3,82.0,82.0
2013-03-01 07:00:00,3.0,10.0,13.0,13.0,0.4,71.0,71.0
2013-03-01 08:00:00,3.0,13.0,34.0,38.0,0.8,45.0,45.0
2013-03-01 09:00:00,17.0,36.0,50.0,28.0,0.7,60.0,62.0
2013-03-01 10:00:00,19.0,32.0,5.0,3.0,0.3,85.0,85.0
2013-03-01 11:00:00,10.0,11.0,3.0,3.0,0.3,87.0,87.0
2013-03-01 12:00:00,3.0,6.0,5.0,3.0,0.3,86.0,86.0
2013-03-01 13:00:00,3.0,6.0,7.0,3.0,0.3,87.0,87.0
2013-03-01 14:00:00,3.0,6.0,9.0,6.0,0.3,87.0,87.0
2013-03-01 15:00:00,3.0,3.0,4.0,3.0,0.2,89.0,89.0
2013-03-01 16:00:00,3.0,6.0,16.0,6.0,0.3,86.0,86.0
2013-03-01 17:00:00,4.0,10.0,13.0,12.0,0.3,80.0,80.0
2013-03-01 18:00:00,4.0,12.0,10.0,15.0,0.3,76.0,76.0
2013-03-01 19:00:00,9.0,18.0,24.0,22.0,0.5,68.0,68.0
2013-03-01 20:00:00,20.0,24.0,22.0,24.0,0.5,65.0,65.0
2013-03-01 21:00:00,23.0,29.0,27.0,16.0,0.4,71.0,71.0
2013-03-01 22:00:00,13.0,20.0,23.0,18.0,0.4,68.0,68.0
2013-03-01 23:00:00,13.0,24.0,50.0,23.0,0.4,61.0,62.0
2013-03-02 00:00:00,15.0,21.0,44.0,28.0,0.5,57.0,57.0
2013-03-02 01:00:00,9.0,16.0,28.0,17.0,0.4,67.0,67.0
2013-03-02 02:00:00,11.0,13.0,40.0,16.0,0.3,67.0,67.0
2013-03-02 03:00:00,8.0,15.0,27.0,17.0,0.4,64.0,64.0
2013-03-02 04:00:00,13.0,15.0,47.0,26.0,0.4,56.0,59.0
2013-03-02 05:00:00,15.0,18.0,42.2688,26.4837,0.4,56.1204,56.0
2013-03-02 06:00:00,12.0,17.0,21.0,11.0,0.4,63.0,63.0
2013-03-02 07:00:00,7.0,11.0,11.0,18.0,0.5,45.0,45.0
2013-03-02 08:00:00,14.0,11.0,61.0,44.0,0.6,28.0,76.0
2013-03-02 09:00:00,22.0,31.0,63.0,60.0,0.8,18.0,79.0
2013-03-02 10:00:00,31.0,49.0,48.0,33.0,0.5,43.0,60.0
