date,PM2.5,PM10,SO2,NO2,CO,O3,AQI
2013-03-01 00:00:00,3.0,6.0,3.0,8.0,0.3,44.0,44.0
2013-03-01 01:00:00,12.0,12.0,3.0,7.0,0.3,47.0,47.0
2013-03-01 02:00:00,14.0,14.0,3.0,7.0,0.2,22.0,23.0
2013-03-01 03:00:00,12.0,12.0,3.0,5.0,0.2,11.0,20.0
2013-03-01 04:00:00,12.0,12.0,3.0,7.0,0.2,11.0,20.0
2013-03-01 05:00:00,11.0,11.0,3.0,7.0,0.2,45.0,45.0
2013-03-01 06:00:00,12.0,12.0,3.0,9.0,0.3,74.0,74.0
2013-03-01 07:00:00,13.0,13.0,3.0,23.0,0.3,59.0,59.0
2013-03-01 08:00:00,8.0,8.0,3.0,19.0,0.4,66.0,66.0
2013-03-01 09:00:00,3.0,6.0,3.0,21.0,0.4,60.0,60.0
2013-03-01 10:00:00,3.0,6.0,3.0,22.0,0.4,64.0,64.0
2013-03-01 11:00:00,6.0,6.0,3.0,16.0,0.3,67.0,67.0
2013-03-01 12:00:00,8.0,8.0,3.0,12.0,0.3,64.0,64.0
2013-03-01 13:00:00,5.0,5.0,3.0,9.0,0.3,74.0,74.0
2013-03-01 14:00:00,5.0,5.0,3.0,10.0,0.4,73.0,73.0
2013-03-01 15:00:00,8.0,8.0,3.0,11.0,0.4,75.0,75.0
2013-03-01 16:00:00,7.0,7.0,3.0,12.0,0.4,73.0,73.0
2013-03-01 17:00:00,10.0,10.0,3.0,12.0,0.4,78.0,78.0
2013-03-01 18:00:00,3.0,6.0,3.0,18.0,0.4,76.0,76.0
2013-03-01 19:00:00,3.0,8.0,3.0,21.0,0.4,71.0,71.0
2013-03-01 20:00:00,13.0,13.0,3.0,17.0,0.5,70.0,70.0
2013-03-01 21:00:00,9.0,14.0,3.0,14.0,0.5,72.0,72.0
2013-03-01 22:00:00,5.0,11.0,3.0,11.0,0.4,74.0,74.0
2013-03-01 23:00:00,9.0,11.0,3.0,8.0,0.4,78.0,78.0
2013-03-02 00:00:00,5.0,7.0,3.0,8.0,0.3,78.0,78.0
2013-03-02 01:00:00,3.0,6.0,3.0,8.0,0.3,76.0,76.0
2013-03-02 02:00:00,4.0,4.0,3.0,8.0,0.3,77.0,77.0
2013-03-02 03:00:00,8.0,8.0,3.0,8.0,0.3,77.0,77.0
2013-03-02 04:00:00,6.0,6.0,3.0,8.0,0.3,78.0,78.0
2013-03-02 05:00:00,6.0,6.0,9.0,31.0,0.5,52.0,52.0
2013-03-02 06:00:00,4.0,6.0,13.0,33.0,0.7,45.0,45.0
2013-03-02 07:00:00,13.0,12.0,12.0,31.0,0.7,49.0,49.0
2013-03-02 08:00:00,12.0,12.0,8.0,31.0,0.5,48.0,48.0
2013-03-02 09:00:00,12.0,10.0,20.0,54.0,0.8,25.0,40.0
2013-03-02 10:00:00,26.0,35.0,18.0,39.0,0.7,42.0,43.0
2013-03-02 11:00:00,18.0,32.0,15.0,26.0,0.6,56.0,56.0
2013-03-02 12:00:00,19.0,22.0,17.0,45.0,0.6,37.0,37.0
2013-03-02 13:00:00,12.0,14.0,15.0,60.0,0.8,34.0,40.0
2013-03-02 14:00:00,18.0,23.0,21.0,67.0,1.0,27.0,50.0
2013-03-02 15:00:00,32.0,34.0,22.0,66.0,1.1,30.0,55.0
2013-03-02 16:00:00,43.0,47.0,24.0,68.0,1.1,30.0,72.0
2013-03-02 17:00:00,49.0,55.0,23.0,61.0,1.0,37.0,82.0
2013-03-02 18:00:00,38.0,51.0,23.0,61.0,1.0,34.0,63.0
2013-03-02 19:00:00,52.0,54.0,26.0,76.0,1.2,18.0,87.0
2013-03-02 20:00:00,69.0,82.0,35.0,87.0,1.7,8.0,130.0
2013-03-02 21:00:00,96.0,104.0,53.0,90.0,2.0,4.0,220.0
2013-03-02 22:00:00,108.0,123.0,46.0,88.0,2.0,4.0,260.0
2013-03-02 23:00:00,130.0,136.0,70.0,88.0,2.6,4.0,308.0
2013-03-03 00:00:00,125.0,153.0,45.0,85.0,2.6,4.0,304.0
2013-03-03 01:00:00,96.0,118.0,40.0,81.0,1.899,3.0,220.0
2013-03-03 02:00:00,84.0,92.0,42.0,84.0,2.0,4.0,180.0
2013-03-03 03:00:00,80.0,90.0,25.0,85.0,2.0,4.0,167.0
2013-03-03 04:00:00,81.0,92.0,11.0,82.0,3.0,5.0,170.0
2013-03-03 05:00:00,120.0,106.0,10.0,76.0,3.0,4.0,300.0
2013-03-03 06:00:00,88.0,108.0,10.0,73.0,2.5,3.0,193.0
2013-03-03 07:00:00,92.0,97.0,8.0,67.0,3.5,3.0,207.0
2013-03-03 08:00:00,113.0,122.0,23.0,65.0,2.7,3.0,277.0
2013-03-03 09:00:00,99.0,114.0,67.0,62.0,2.2,6.0,230.0
2013-03-03 10:00:00,88.0,95.0,66.0,61.0,1.8,15.0,193.0
2013-03-03 11:00:00,85.0,92.0,61.0,65.0,1.7,26.0,183.0
2013-03-03 12:00:00,95.0,106.0,60.0,73.0,1.7,28.0,217.0
2013-03-03 13:00:00,109.0,123.0,58.0,84.0,1.6,25.0,263.0
2013-03-03 14:00:00,99.0,114.0,48.0,78.0,1.399,33.0,230.0
2013-03-03 15:00:00,70.0,107.0,28.0,64.0,1.1,44.0,133.0
2013-03-03 16:00:00,45.0,96.0,23.0,42.0,0.9,64.0,96.0
2013-03-03 17:00:00,41.0,73.0,15.0,34.0,0.8,72.0,73.0
2013-03-03 18:00:00,42.0,67.0,10.0,36.0,0.7,70.0,70.0
2013-03-03 19:00:00,39.0,66.0,11.0,49.0,0.7,47.0,66.0
2013-03-03 20:00:00,26.0,67.0,25.0,63.0,0.8,27.0,67.0
2013-03-03 21:00:00,34.0,64.0,20.0,60.0,1.3,27.0,65.0
2013-03-03 22:00:00,47.0,68.0,16.0,44.0,1.1,44.0,78.0
2013-03-03 23:00:00,38.0,55.0,19.0,54.0,1.0,28.0,63.0
2013-03-04 00:00:00,32.0,55.0,35.0,55.0,1.2,29.0,60.0
2013-03-04 01:00:00,39.0,54.0,18.0,32.0,1.0,48.0,65.0
2013-03-04 02:00:00,30.0,50.0,9.0,15.0,0.7,68.0,68.0
2013-03-04 03:00:00,16.0,26.0,13.0,13.0,0.5,71.0,71.0
2013-03-04 04:00:00,3.0,8.0,12.0,16.0,0.5,69.0,69.0
2013-03-04 05:00:00,3.0,8.0,5.0,11.0,0.4,77.0,77.0
2013-03-04 06:00:00,3.0,9.0,6.0,22.0,0.5,60.0,60.0
2013-03-04 07:00:00,9.0,14.0,15.0,53.0,0.8,24.0,40.0
2013-03-04 08:00:00,11.0,21.0,15.0,67.0,1.399,13.0,70.0
2013-03-04 09:00:00,15.0,33.0,13.0,32.0,0.7,56.0,56.0
2013-03-04 10:00:00,10.0,14.0,6.0,19.0,0.6,72.0,72.0
2013-03-04 11:00:00,3.0,9.0,6.0,17.0,0.5,76.0,76.0
2013-03-04 12:00:00,3.0,7.0,5.0,15.0,0.5,83.0,83.0
2013-03-04 13:00:00,5.0,8.0,6.0,18.0,0.5,83.0,83.0
2013-03-04 14:00:00,3.0,9.0,8.0,19.0,0.5,82.0,82.0
2013-03-04 15:00:00,3.0,6.0,8.0,19.0,0.5,82.0,82.0
2013-03-04 16:00:00,13.0,10.0,8.0,21.0,0.5,84.0,84.0
2013-03-04 17:00:00,8.0,10.0,10.0,32.0,0.5,69.0,69.0
2013-03-04 18:00:00,18.0,28.0,7.0,55.0,0.7,50.0,50.0
2013-03-04 19:00:00,25.0,47.0,8.0,91.0,0.9,25.0,47.0
2013-03-04 20:00:00,37.0,60.0,15.0,103.0,1.1,10.0,62.0
2013-03-04 21:00:00,52.0,84.0,24.0,104.0,1.399,4.0,87.0
2013-03-04 22:00:00,63.0,97.0,30.0,107.0,1.5,4.0,110.0
2013-03-04 23:00:00,72.0,103.0,32.0,103.0,1.6,84.0,140.0
