date,PM2.5,PM10,SO2,NO2,CO,O3,AQI
2013-03-01 00:00:00,6.0,6.0,4.0,8.0,0.3,81.0,81.0
2013-03-01 01:00:00,6.0,29.0,5.0,9.0,0.3,80.0,80.0
2013-03-01 02:00:00,6.0,6.0,4.0,12.0,0.3,75.0,75.0
2013-03-01 03:00:00,6.0,6.0,4.0,12.0,0.3,74.0,74.0
2013-03-01 04:00:00,5.0,5.0,7.0,15.0,0.4,70.0,70.0
2013-03-01 05:00:00,10.0,10.0,12.0,15.0,0.4,70.0,70.0
2013-03-01 06:00:00,8.0,19.0,12.0,14.0,0.4,72.0,72.0
2013-03-01 07:00:00,7.0,7.0,12.0,19.0,0.4,67.0,67.0
2013-03-01 08:00:00,3.0,6.0,14.0,29.0,0.5,56.0,56.0
2013-03-01 09:00:00,8.0,2.0,11.0,22.0,0.5,65.0,65.0
2013-03-01 10:00:00,9.0,9.0,8.0,17.0,0.4,72.0,72.0
2013-03-01 11:00:00,9.0,23.0,8.0,16.0,0.4,75.0,75.0
2013-03-01 12:00:00,9.0,19.0,7.0,16.0,0.4,76.0,76.0
2013-03-01 13:00:00,10.0,34.0,7.0,12.0,0.4,81.0,81.0
2013-03-01 14:00:00,10.0,19.0,6.0,12.0,0.4,83.0,83.0
2013-03-01 15:00:00,3.0,6.0,6.0,15.0,0.4,81.0,81.0
2013-03-01 16:00:00,8.0,22.0,7.0,14.0,0.3,82.0,82.0
2013-03-01 17:00:00,10.0,28.0,9.0,21.0,0.4,75.0,75.0
2013-03-01 18:00:00,11.0,21.0,10.0,28.0,0.5,66.0,66.0
2013-03-01 19:00:00,12.0,4.0,7.0,39.0,0.6,53.0,53.0
2013-03-01 20:00:00,12.0,16.0,8.0,30.0,0.5,60.0,60.0
2013-03-01 21:00:00,12.0,17.0,13.0,43.0,0.7,44.0,44.0
2013-03-01 22:00:00,12.0,16.0,15.0,48.0,0.8,39.0,40.0
2013-03-01 23:00:00,15.0,17.0,17.0,52.0,0.8,37.0,40.0
2013-03-02 00:00:00,16.0,17.0,10.0,33.0,0.5,56.0,56.0
2013-03-02 01:00:00,3.0,10.0,10.0,27.0,0.5,60.0,60.0
2013-03-02 02:00:00,4.0,8.0,8.0,25.0,0.4,57.0,57.0
2013-03-02 03:00:00,9.0,10.0,8.0,26.0,0.5,83.0,83.0
2013-03-02 04:00:00,3.0,8.0,7.0,26.0,0.5,54.0,54.0
2013-03-02 05:00:00,6.0,10.0,10.0,26.0,0.4,37.0,37.0
2013-03-02 06:00:00,5.0,8.0,11.0,37.0,0.5,29.0,29.0
2013-03-02 07:00:00,3.0,6.0,15.0,61.0,0.7,13.0,35.0
2013-03-02 08:00:00,12.0,15.0,15.0,54.0,0.7,22.0,35.0
2013-03-02 09:00:00,13.0,20.0,19.0,60.0,0.7,18.0,35.0
2013-03-02 10:00:00,18.0,23.0,22.0,60.0,0.7,20.0,35.0
2013-03-02 11:00:00,16.0,22.0,21.0,64.0,0.9,17.0,45.0
2013-03-02 12:00:00,26.0,34.0,26.0,58.0,0.9,27.0,45.0
2013-03-02 13:00:00,27.0,34.0,24.0,44.0,0.7,44.0,45.0
2013-03-02 14:00:00,35.0,40.0,24.0,35.0,0.8,53.0,58.0
2013-03-02 15:00:00,35.0,38.0,48.0,45.0,1.2,48.0,60.0
2013-03-02 16:00:00,48.0,58.0,52.0,49.0,1.1,43.0,80.0
2013-03-02 17:00:00,56.0,64.0,49.0,46.0,1.0,47.0,93.0
2013-03-02 18:00:00,49.0,52.0,52.0,51.0,1.1,39.0,82.0
2013-03-02 19:00:00,64.0,70.0,43.0,55.0,1.1,26.0,113.0
2013-03-02 20:00:00,63.0,75.0,44.0,72.0,1.3,10.0,110.0
2013-03-02 21:00:00,73.0,82.0,40.0,78.0,1.6,4.0,143.0
2013-03-02 22:00:00,79.0,79.0,36.0,76.0,2.0,6.0,163.0
2013-03-02 23:00:00,98.0,106.0,39.0,79.0,2.2,4.0,227.0
2013-03-03 00:00:00,84.0,97.0,39.0,80.0,2.299,4.0,180.0
2013-03-03 01:00:00,85.0,93.0,54.0,83.0,2.5,6.0,183.0
2013-03-03 02:00:00,110.0,119.0,68.0,87.0,2.2,6.0,267.0
2013-03-03 03:00:00,112.0,119.0,89.0,86.0,2.2,5.0,273.0
2013-03-03 04:00:00,113.0,123.0,82.0,83.0,2.2,4.0,277.0
2013-03-03 05:00:00,84.0,104.0,37.0,72.0,2.1,4.0,180.0
2013-03-03 06:00:00,77.0,86.0,27.0,69.0,2.2,4.0,157.0
2013-03-03 07:00:00,73.0,78.0,21.0,67.0,2.6,5.0,143.0
2013-03-03 08:00:00,74.0,81.0,41.0,70.0,2.799,6.0,147.0
2013-03-03 09:00:00,90.0,108.0,100.0,82.0,2.2,8.0,200.0
2013-03-03 10:00:00,96.0,97.0,103.0,90.0,2.399,8.0,220.0
2013-03-03 11:00:00,96.0,106.0,101.0,100.0,2.7,10.0,220.0
2013-03-03 12:00:00,105.0,127.0,91.0,110.0,2.7,11.0,250.0
2013-03-03 13:00:00,114.0,124.0,56.0,97.0,2.1,21.0,280.0
2013-03-03 14:00:00,92.0,96.0,46.0,92.0,1.7,35.0,207.0
2013-03-03 15:00:00,102.0,137.0,44.0,65.0,1.3,64.0,240.0
2013-03-03 16:00:00,98.0,144.0,28.0,47.0,0.9,70.0,227.0
2013-03-03 17:00:00,77.0,130.0,33.0,57.0,1.1,63.0,157.0
2013-03-03 18:00:00,84.0,139.0,60.0,90.0,1.6,38.0,180.0
2013-03-03 19:00:00,128.0,207.0,61.0,109.0,1.899,12.0,306.0
2013-03-03 20:00:00,141.0,205.0,54.0,104.0,2.0,7.0,316.0
2013-03-03 21:00:00,142.0,186.0,42.0,98.0,1.899,6.0,317.0
2013-03-03 22:00:00,107.0,110.0,30.0,76.0,1.5,5.0,257.0
2013-03-03 23:00:00,69.0,96.0,28.0,77.0,1.6,4.0,130.0
2013-03-04 00:00:00,44.0,50.0,35.0,84.0,4.2,8.0,128.0
2013-03-04 01:00:00,52.0,79.0,29.0,62.0,1.3,15.0,87.0
2013-03-04 02:00:00,11.0,20.0,6.0,17.0,0.5,62.0,62.0
2013-03-04 03:00:00,13.0,40.0,3.0,10.0,0.4,74.0,74.0
2013-03-04 04:00:00,6.0,30.0,8.0,22.0,0.5,57.0,57.0
2013-03-04 05:00:00,7.0,22.0,15.0,39.0,0.7,34.0,35.0
2013-03-04 06:00:00,9.0,36.0,22.0,49.0,0.7,25.0,36.0
2013-03-04 07:00:00,10.0,28.0,25.0,57.0,1.2,11.0,60.0
2013-03-04 08:00:00,14.0,46.0,28.0,67.0,1.399,9.0,70.0
2013-03-04 09:00:00,21.0,32.0,26.0,51.0,1.0,29.0,50.0
2013-03-04 10:00:00,20.0,27.0,13.0,33.0,0.7,53.0,53.0
2013-03-04 11:00:00,13.0,18.0,13.0,30.0,0.6,61.0,61.0
2013-03-04 12:00:00,16.0,27.0,11.0,28.0,0.6,66.0,66.0
2013-03-04 13:00:00,14.0,24.0,8.0,24.0,0.5,72.0,72.0
2013-03-04 14:00:00,16.0,18.0,8.0,20.0,0.5,79.0,79.0
2013-03-04 15:00:00,5.0,11.0,8.0,27.0,0.5,76.0,76.0
2013-03-04 16:00:00,15.0,19.0,10.0,27.0,0.5,82.0,82.0
2013-03-04 17:00:00,17.0,27.0,8.0,25.0,0.4,99.0,99.0
2013-03-04 18:00:00,22.0,29.0,10.0,29.0,0.5,86.0,86.0
2013-03-04 19:00:00,25.0,42.0,13.0,44.0,0.6,61.0,61.0
2013-03-04 20:00:00,31.0,62.0,18.0,57.0,0.7,42.0,62.0
2013-03-04 21:00:00,44.0,63.0,20.0,55.0,0.8,48.0,73.0
2013-03-04 22:00:00,53.0,73.0,24.0,69.0,1.2,27.0,88.0
2013-03-04 23:00:00,58.0,79.0,37.0,83.0,1.5,99.0,99.0
2013-03-05 00:00:00,71.0,75.0,53.0,58.0,1.2,99.0,137.0
2013-03-05 01:00:00,76.0,96.0,82.0,56.0,1.3,99.0,153.0
2013-03-05 02:00:00,98.0,116.0,70.0,59.0,1.3,99.0,227.0
2013-03-05 03:00:00,100.0,117.0,71.0,68.0,1.6,99.0,233.0
2013-03-05 04:00:00,108.0,118.0,62.0,71.0,1.7,99.0,260.0
2013-03-05 05:00:00,130.0,133.0,40.0,68.0,1.899,99.0,308.0
2013-03-05 06:00:00,125.0,134.0,22.0,61.0,1.899,99.0,304.0
2013-03-05 07:00:00,120.0,123.0,32.0,67.0,2.399,99.0,300.0
2013-03-05 08:00:00,103.0,123.0,65.0,75.0,3.1,99.0,243.0
