date,PM2.5,PM10,SO2,NO2,CO,O3,AQI
2013-03-01 00:00:00,8.0,8.0,6.0,28.0,0.4,52.0,52.0
2013-03-01 01:00:00,9.0,9.0,6.0,28.0,0.4,50.0,50.0
2013-03-01 02:00:00,3.0,6.0,8.0,19.0,0.4,55.0,55.0
2013-03-01 03:00:00,11.0,30.0,8.0,14.0,0.3,54.0,54.0
2013-03-01 04:00:00,3.0,13.0,9.0,17.0,0.3,54.0,54.0
2013-03-01 05:00:00,3.0,6.0,8.0,17.0,0.3,54.0,54.0
2013-03-01 06:00:00,3.0,3.0,10.0,21.0,0.3,52.0,52.0
2013-03-01 07:00:00,3.0,6.0,11.0,26.0,0.3,47.0,47.0
2013-03-01 08:00:00,7.0,10.0,14.0,39.0,0.4,36.0,36.0
2013-03-01 09:00:00,3.0,9.0,12.0,31.0,0.4,46.0,46.0
2013-03-01 10:00:00,3.0,8.0,12.0,30.0,0.4,49.0,49.0
2013-03-01 11:00:00,3.0,6.0,10.0,26.0,0.3,54.0,54.0
2013-03-01 12:00:00,6.0,9.0,11.0,22.0,0.3,57.0,57.0
2013-03-01 13:00:00,10.0,18.0,10.0,20.0,0.3,60.0,60.0
2013-03-01 14:00:00,10.0,15.0,10.0,22.0,0.3,60.0,60.0
2013-03-01 15:00:00,7.0,15.0,9.0,22.0,0.3,61.0,61.0
2013-03-01 16:00:00,12.0,22.0,10.0,25.0,0.3,59.0,59.0
2013-03-01 17:00:00,13.0,23.0,10.0,26.0,0.3,58.0,58.0
2013-03-01 18:00:00,11.0,25.0,12.0,32.0,0.4,49.0,49.0
2013-03-01 19:00:00,11.0,17.0,13.0,53.0,0.6,30.0,30.0
2013-03-01 20:00:00,9.0,19.0,14.0,55.0,0.5,28.0,28.0
2013-03-01 21:00:00,14.0,17.0,16.0,57.0,0.6,25.0,30.0
2013-03-01 22:00:00,15.0,20.0,17.0,71.0,0.7,8.0,35.0
2013-03-01 23:00:00,15.0,29.0,30.0,62.0,0.6,22.0,38.0
2013-03-02 00:00:00,15.0,2.0,20.0,61.0,0.6,24.0,30.0
2013-03-02 01:00:00,4.0,12.0,16.0,52.0,0.5,34.0,34.0
2013-03-02 02:00:00,12.0,12.0,16.0,52.0,0.4,32.0,32.0
2013-03-02 03:00:00,3.0,9.0,16.0,53.0,0.4,30.0,30.0
2013-03-02 04:00:00,3.0,6.0,12.0,53.0,0.4,31.0,31.0
2013-03-02 05:00:00,3.0,6.0,26.0,66.0,0.5,15.0,32.0
2013-03-02 06:00:00,4.0,12.0,26.0,71.0,0.6,8.0,32.0
2013-03-02 07:00:00,3.0,14.0,46.0,72.0,0.6,10.0,58.0
2013-03-02 08:00:00,3.0,6.0,40.0,68.0,0.6,15.0,50.0
2013-03-02 09:00:00,3.0,12.0,28.0,66.0,0.6,19.0,35.0
2013-03-02 10:00:00,3.0,10.0,31.0,72.0,0.6,14.0,39.0
2013-03-02 11:00:00,6.0,13.0,23.0,74.0,0.7,12.0,35.0
2013-03-02 12:00:00,16.0,18.0,24.0,73.0,0.8,17.0,40.0
2013-03-02 13:00:00,19.0,27.0,28.0,68.0,0.7,25.0,35.0
2013-03-02 14:00:00,32.0,36.0,23.0,63.0,0.7,31.0,53.0
2013-03-02 15:00:00,31.0,37.0,24.0,65.0,0.8,33.0,52.0
2013-03-02 16:00:00,34.0,42.0,32.0,73.0,1.1,27.0,57.0
2013-03-02 17:00:00,47.0,70.0,41.0,80.0,1.1,21.0,78.0
2013-03-02 18:00:00,58.0,83.0,49.0,85.0,1.1,15.0,97.0
2013-03-02 19:00:00,65.0,94.0,51.0,94.0,1.2,3.0,117.0
2013-03-02 20:00:00,78.0,108.0,55.0,101.0,1.5,2.0,160.0
2013-03-02 21:00:00,84.0,122.0,68.0,103.0,2.2,2.0,180.0
2013-03-02 22:00:00,88.0,132.0,65.0,104.0,2.0,2.0,193.0
2013-03-02 23:00:00,84.0,116.0,62.0,100.0,2.1,2.0,180.0
2013-03-03 00:00:00,88.0,127.0,69.0,98.0,2.799,2.0,193.0
2013-03-03 01:00:00,104.0,145.0,78.0,97.0,3.0,2.0,247.0
2013-03-03 02:00:00,106.0,142.0,72.0,94.0,2.899,2.0,253.0
2013-03-03 03:00:00,96.0,147.0,55.0,88.0,2.799,2.0,220.0
2013-03-03 04:00:00,89.0,130.0,54.0,88.0,2.5,2.0,197.0
