date,PM2.5,PM10,SO2,NO2,CO,O3,AQI
2013-03-01 00:00:00,9.0,9.0,6.0,17.0,0.2,62.0,62.0
2013-03-01 01:00:00,11.0,11.0,7.0,14.0,0.2,66.0,66.0
2013-03-01 02:00:00,8.0,8.0,3.0,16.0,0.2,59.0,59.0
2013-03-01 03:00:00,8.0,8.0,3.0,16.0,0.3,36.0,36.0
2013-03-01 04:00:00,8.0,8.0,3.0,8.0,0.3,36.0,36.0
2013-03-01 05:00:00,10.0,10.0,4.0,8.0,0.2,64.0,64.0
2013-03-01 06:00:00,8.0,8.0,6.0,13.0,0.3,61.0,61.0
2013-03-01 07:00:00,8.0,8.0,8.0,20.0,0.3,54.0,54.0
2013-03-01 08:00:00,3.0,6.0,9.0,23.0,0.3,50.0,50.0
2013-03-01 09:00:00,3.0,6.0,10.0,18.0,0.3,56.0,56.0
2013-03-01 10:00:00,3.0,6.0,11.0,15.0,0.3,61.0,61.0
2013-03-01 11:00:00,3.0,6.0,9.0,14.0,0.3,62.0,62.0
2013-03-01 12:00:00,3.0,6.0,8.0,10.0,0.3,67.0,67.0
2013-03-01 13:00:00,3.0,9.0,7.0,9.0,0.3,70.0,70.0
2013-03-01 14:00:00,3.0,14.0,7.0,8.0,0.3,72.0,72.0
2013-03-01 15:00:00,12.0,14.0,5.0,7.0,0.2,73.0,73.0
2013-03-01 16:00:00,11.0,17.0,7.0,9.0,0.3,72.0,72.0
2013-03-01 17:00:00,13.0,18.0,8.0,14.0,0.3,67.0,67.0
2013-03-01 18:00:00,10.0,18.0,9.0,20.0,0.4,58.0,58.0
2013-03-01 19:00:00,10.0,16.0,7.0,29.0,0.5,50.0,50.0
2013-03-01 20:00:00,11.0,12.0,6.0,29.0,0.5,47.0,47.0
2013-03-01 21:00:00,10.0,12.0,6.0,31.0,0.5,44.0,44.0
2013-03-01 22:00:00,10.0,13.0,11.0,39.0,0.5,34.0,34.0
2013-03-01 23:00:00,15.0,15.0,14.0,41.0,0.5,31.0,31.0
2013-03-02 00:00:00,5.0,10.0,11.0,35.0,0.4,39.0,39.0
2013-03-02 01:00:00,3.0,8.0,9.0,33.0,0.4,40.0,40.0
2013-03-02 02:00:00,3.0,6.0,9.0,29.0,0.3,44.0,44.0
2013-03-02 03:00:00,3.0,6.0,9.0,29.0,0.4,43.0,43.0
2013-03-02 04:00:00,3.0,6.0,8.0,30.0,0.4,41.0,41.0
2013-03-02 05:00:00,8.0,8.0,6.0,15.0,0.3,57.0,57.0
2013-03-02 06:00:00,8.0,8.0,10.0,31.0,0.4,37.0,37.0
2013-03-02 07:00:00,3.0,6.0,16.0,61.0,0.6,8.0,30.0
2013-03-02 08:00:00,4.0,7.0,17.0,53.0,0.5,17.0,25.0
2013-03-02 09:00:00,4.0,11.0,17.0,50.0,0.5,23.0,25.0
2013-03-02 10:00:00,5.0,14.0,22.0,52.0,0.6,20.0,30.0
2013-03-02 11:00:00,13.0,18.0,20.0,61.0,1.0,15.0,50.0
2013-03-02 12:00:00,17.0,25.0,19.0,47.0,0.7,29.0,35.0
2013-03-02 13:00:00,24.0,28.0,18.0,35.0,0.6,43.0,43.0
2013-03-02 14:00:00,18.0,27.0,23.0,36.0,0.8,44.0,44.0
2013-03-02 15:00:00,34.0,37.0,44.0,43.0,1.1,40.0,57.0
2013-03-02 16:00:00,42.0,56.0,46.0,44.0,1.1,38.0,70.0
2013-03-02 17:00:00,56.0,68.0,48.0,46.0,1.1,37.0,93.0
2013-03-02 18:00:00,56.0,80.0,51.0,52.0,1.1,31.0,93.0
2013-03-02 19:00:00,64.0,88.0,53.0,67.0,1.3,14.0,113.0
2013-03-02 20:00:00,72.0,96.0,63.0,83.0,1.6,2.0,140.0
2013-03-02 21:00:00,88.0,118.0,72.0,91.0,1.8,2.0,193.0
2013-03-02 22:00:00,101.0,125.0,82.0,93.0,2.0,2.0,237.0
2013-03-02 23:00:00,108.0,127.0,70.0,92.0,2.1,2.0,260.0
2013-03-03 00:00:00,101.0,108.0,56.0,92.0,2.1,2.0,237.0
2013-03-03 01:00:00,77.0,93.0,62.0,94.0,2.299,2.0,157.0
2013-03-03 02:00:00,97.0,109.0,68.0,92.0,2.6,2.0,223.0
2013-03-03 03:00:00,107.0,120.0,75.0,89.0,2.7,2.0,257.0
2013-03-03 04:00:00,107.0,118.0,76.0,89.0,2.799,2.0,257.0
2013-03-03 05:00:00,104.0,109.0,65.0,86.0,2.0,2.0,247.0
2013-03-03 06:00:00,87.0,94.0,60.0,86.0,2.0,2.0,190.0
2013-03-03 07:00:00,86.0,95.0,69.0,86.0,2.0,2.0,187.0
2013-03-03 08:00:00,84.0,101.0,73.0,86.0,2.399,2.0,180.0
2013-03-03 09:00:00,88.0,119.0,83.0,91.0,2.799,2.0,193.0
2013-03-03 10:00:00,91.0,127.0,84.0,95.0,2.6,2.0,203.0
2013-03-03 11:00:00,93.0,129.0,88.0,102.0,2.6,4.0,210.0
2013-03-03 12:00:00,101.0,143.0,79.0,115.0,3.0,6.0,237.0
2013-03-03 13:00:00,110.0,152.0,54.0,92.0,2.0,18.0,267.0
2013-03-03 14:00:00,92.0,143.0,52.0,86.0,1.8,35.0,207.0
2013-03-03 15:00:00,114.0,169.0,43.0,58.0,1.3,55.0,280.0
2013-03-03 16:00:00,95.0,146.0,29.0,46.0,1.0,60.0,217.0
2013-03-03 17:00:00,77.0,130.0,36.0,57.0,1.0,50.0,157.0
2013-03-03 18:00:00,84.0,159.0,65.0,102.0,1.6,16.0,180.0
2013-03-03 19:00:00,123.0,225.0,66.0,116.0,1.8,2.0,302.0
2013-03-03 20:00:00,150.0,242.0,69.0,120.0,2.2,2.0,323.0
2013-03-03 21:00:00,147.0,191.0,23.0,80.0,1.1,2.0,321.0
2013-03-03 22:00:00,62.0,68.0,14.0,73.0,0.8,2.0,107.0
2013-03-03 23:00:00,27.0,41.0,20.0,89.0,1.6,2.0,80.0
2013-03-04 00:00:00,33.0,46.0,21.0,85.0,2.0,2.0,100.0
2013-03-04 01:00:00,31.0,36.0,31.0,73.0,1.2,2.0,60.0
2013-03-04 02:00:00,23.0,31.0,10.0,25.0,0.5,44.0,44.0
2013-03-04 03:00:00,10.0,27.0,5.0,17.0,0.4,56.0,56.0
2013-03-04 04:00:00,8.0,16.0,12.0,32.0,0.5,37.0,37.0
2013-03-04 05:00:00,9.0,22.0,15.0,23.0,0.4,44.0,44.0
2013-03-04 06:00:00,4.0,24.0,18.0,32.0,0.6,33.0,33.0
2013-03-04 07:00:00,8.0,22.0,22.0,53.0,0.9,11.0,45.0
2013-03-04 08:00:00,9.0,28.0,32.0,61.0,1.1,8.0,55.0
2013-03-04 09:00:00,12.0,29.0,22.0,37.0,0.6,36.0,36.0
2013-03-04 10:00:00,11.0,13.0,15.0,25.0,0.5,51.0,51.0
2013-03-04 11:00:00,12.0,14.0,11.0,19.0,0.4,60.0,60.0
2013-03-04 12:00:00,15.0,16.0,12.0,19.0,0.4,63.0,63.0
2013-03-04 13:00:00,13.0,16.0,11.0,18.0,0.4,67.0,67.0
2013-03-04 14:00:00,8.0,13.0,9.0,20.0,0.4,69.0,69.0
2013-03-04 15:00:00,10.0,15.0,11.0,25.0,0.4,67.0,67.0
2013-03-04 16:00:00,12.0,18.0,10.0,28.0,0.4,75.0,75.0
2013-03-04 17:00:00,23.0,26.0,8.0,28.0,0.5,87.0,87.0
2013-03-04 18:00:00,29.0,38.0,13.0,43.0,0.5,63.0,63.0
2013-03-04 19:00:00,32.0,66.0,16.0,65.0,0.7,32.0,66.0
2013-03-04 20:00:00,40.0,92.0,25.0,78.0,1.1,14.0,92.0
2013-03-04 21:00:00,56.0,104.0,38.0,88.0,1.399,4.0,103.0
2013-03-04 22:00:00,71.0,111.0,35.0,83.0,1.399,7.0,137.0
2013-03-04 23:00:00,76.0,105.0,52.0,71.0,1.399,87.0,153.0
2013-03-05 00:00:00,82.0,106.0,86.0,63.0,1.3,87.0,173.0
2013-03-05 01:00:00,93.0,124.0,82.0,58.0,1.3,87.0,210.0
2013-03-05 02:00:00,107.0,138.0,4.0,56.0,1.399,87.0,257.0
2013-03-05 03:00:00,114.0,130.0,4.0,59.0,1.8,87.0,280.0
2013-03-05 04:00:00,125.0,137.0,5.0,74.0,1.8,87.0,304.0
2013-03-05 05:00:00,138.0,149.0,59.0,74.0,2.2,87.0,314.0
2013-03-05 06:00:00,132.0,145.0,63.0,79.0,2.399,87.0,309.0
2013-03-05 07:00:00,129.0,137.0,67.0,82.0,2.799,87.0,307.0
2013-03-05 08:00:00,118.0,136.0,80.0,90.0,3.399,87.0,293.0
2013-03-05 09:00:00,117.0,150.0,117.0,97.0,3.1,87.0,290.0
2013-03-05 10:00:00,126.0,172.0,90.0,108.0,3.0,87.0,305.0
2013-03-05 11:00:00,133.0,180.0,83.0,108.0,2.6,87.0,310.0
2013-03-05 12:00:00,138.0,169.0,73.0,101.0,2.0,25.0,314.0
2013-03-05 13:00:00,134.0,157.0,72.0,116.0,2.1,87.0,311.0
2013-03-05 14:00:00,142.0,161.0,79.0,140.0,2.399,87.0,317.0
2013-03-05 15:00:00,168.0,187.0,102.0,132.0,2.2,87.0,337.0
2013-03-05 16:00:00,193.0,217.0,100.0,95.0,1.7,87.0,356.0
