station,location,longitude,latitude,elevation_m
Gucheng ,Shijingshan Environmental Protection Bureau (Institution in urban),116.184,39.914,71
Huairou ,Urban Area of Huairou (Block in town),116.628,40.328,52
Tiantan ,Inside Temple of Heaven Park (Park in urban),116.407,39.886,33
Changping ,Urban Area of Changping (Block in town),116.23,40.217,74
Guanyuan ,Beijing Municipal Party School (School in urban),116.339,39.929,47
Nongzhanguan ,Residential Area of Agricultural Exhibition Hall (Residential zone in urban),116.461,39.937,43
Wanliu ,Inside Changchun Fitness Park (Park in urban),116.287,39.987,44
Dongsi ,Dongcheng District Environmental Protection Bureau (Block in urban),116.417,39.929,31
Wanshouxigong ,Inside Wanshou Park (Park in urban),116.352,39.878,51
Aotizhongxin ,Inside Olympic Center (Sports Center in urban),116.397,39.982,42
Dingling ,"Dingling, Changping (Park in suburban)",116.22,40.292,231
Shunyi ,Urban Area of Shunyi (Block in town),116.655,40.127,15
